date,open,close,high,low,volume
2026-05-14,103.43,99.67,104.48,97.81,85906150.0
2026-05-15,102.07,102.46,110.98,100.62,125947955.0
2026-05-18,103.89,99.39,105.18,98.26,86473802.0
2026-05-19,100.9,98.33,100.98,95.7,66223146.0
2026-05-20,97.0,95.85,99.0,94.62,55937391.0
2026-05-21,97.4,91.58,98.28,90.9,68223171.0
2026-05-22,92.9,93.35,93.8,90.51,50374953.0
2026-05-25,93.39,94.58,94.84,91.2,58251473.0
2026-05-26,93.33,89.01,93.33,88.87,58272562.0
2026-05-27,87.81,84.47,88.56,84.0,54740361.0
2026-05-28,88.04,86.47,88.66,84.51,40176934.0
2026-05-29,85.2,83.87,86.99,81.77,43370151.0
2026-06-01,83.0,82.19,85.1,82.08,30344026.0
